handle,nom,marque,type_produit,category_API,subcategory_API,collections,fiche_canonique
hkliving-tasse-a-cappuccino-rock-set-0,Mug à cappuccino 70s Ceramics,HKliving,mug à cappuccino,objets,,70s-ceramics | arts-de-la-table | hkliving | mugs-tasses-cafe,/produit.html?handle=hkliving-tasse-a-cappuccino-rock-set-0
verre-a-eau-animal-farm,Verre à eau Animal Farm,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-animal-farm
lampe-balad-h-25-cm,Lampe Balad² H.25 cm,Fermob,lampe baladeuse,luminaires,,fermob | claude-modifs-2026-05-16 | outdoor | lampes-nomades | fermob-1,/produit.html?handle=lampe-balad-h-25-cm
verre-a-eau-marine-garden,Verre à eau Marine Garden,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-marine-garden
chaise-bistro-metal,Chaise Bistro Métal,Fermob,chaise,assises,,bistro | fermob | claude-modifs-2026-05-16 | sieges | outdoor | chaises | tables-de-cafe | fermob-1 | chaises-outdoor,/produit.html?handle=chaise-bistro-metal
hkliving-tasse-a-the-quest-set-0,Tasse à thé 70s Ceramics,HKliving,tasse à thé,objets,,70s-ceramics | arts-de-la-table | hkliving,/produit.html?handle=hkliving-tasse-a-the-quest-set-0
hkliving-vase-gleam-set-0,Vase Gleam,HKliving,vase gleam,objets,,arts-de-la-table | hkliving,/produit.html?handle=hkliving-vase-gleam-set-0
hkliving-cache-pot-stoneware-cream-36-set-0,Cache-pot Stoneware,HKliving,cache-pot,objets,,arts-de-la-table | hkliving | decoration | cache-pots-jardinieres,/produit.html?handle=hkliving-cache-pot-stoneware-cream-36-set-0
set-de-table-basics-2600,Set de table Basics,Fermob,set de table,objets,,arts-de-la-table | fermob | claude-modifs-2026-05-16 | outdoor | fermob-1,/produit.html?handle=set-de-table-basics-2600
verre-a-eau-talking-tress,Verre à eau Talking Tress,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-talking-tress
coussin-basics-bistro-38-x-28-cm,Coussin Basics Bistro 38 x 28 cm,Fermob,coussin,objets,,bistro | fermob | claude-modifs-2026-05-16 | outdoor | decoration | tables-de-cafe | coussins-plaids-tapis | fermob-1,/produit.html?handle=coussin-basics-bistro-38-x-28-cm
verre-a-eau-savannah,Verre à eau Savannah,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-savannah
verre-a-eau-botanica,Verre à eau Botanica,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-botanica
set-de-table-nup-curve-repas,Set de table Cuir Nupo Curve Repas,LIND DNA,set de table,objets,,arts-de-la-table | lind-dna,/produit.html?handle=set-de-table-nup-curve-repas
boite-sonore-zwitscherbox-plastique,Boîte sonore Zwitscherbox Plastique,Relaxound,boîte sonore,objets,,relaxound,/produit.html?handle=boite-sonore-zwitscherbox-plastique
verre-a-eau-cuore,Verre à eau Cuore,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-cuore
boite-sonore-zwitscherbox-bois,Boîte sonore Zwitscherbox Bois,Relaxound,boîte sonore,objets,,relaxound,/produit.html?handle=boite-sonore-zwitscherbox-bois
hkliving-tasse-a-ristretto-solar-set-4,Tasses à ristretto 70s Ceramics (Lot de 4),HKliving,tasse à ristretto,objets,,70s-ceramics | arts-de-la-table | hkliving,/produit.html?handle=hkliving-tasse-a-ristretto-solar-set-4
hkliving-tasse-a-cafe-van-gogh-sunflowers-set-2,Tasses à café Van Gogh (Lot de 2),HKliving,tasse à café,objets,,arts-de-la-table | hkliving,/produit.html?handle=hkliving-tasse-a-cafe-van-gogh-sunflowers-set-2
verre-a-eau-tabby-cat,Verre à eau Tabby Cat,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-tabby-cat
hkliving-plateau-de-service-set-0,Plateau de service,HKliving,plateau,objets,,arts-de-la-table | hkliving | accessoires | ustensiles-cuisine,/produit.html?handle=hkliving-plateau-de-service-set-0
hkliving-coquetier-island-set-4,Coquetiers 70s Ceramics (Lot de 4),HKliving,coquetier,objets,,70s-ceramics | arts-de-la-table | hkliving,/produit.html?handle=hkliving-coquetier-island-set-4
chaise-aluminium-luxembourg-4101,Chaise Luxembourg,Fermob,chaise,assises,,luxembourg | fermob | sieges | outdoor | chaises | fermob-1 | chaises-outdoor,/produit.html?handle=chaise-aluminium-luxembourg-4101
verre-a-eau-dogs,Verre à eau Dogs,Ichendorf Milano,verre à eau,objets,,arts-de-la-table | ichendorf-milano,/produit.html?handle=verre-a-eau-dogs
