parcours,depart,fiche,fil_visible_fiche,retour_clique,constat
Famille + marque,https://www.mikadodeco.be/collections/luminaires?brand=hay,https://www.mikadodeco.be/produit.html?handle=lampadaire-hay-apex-floor-lamp&from=coll-brand%3Aluminaires%3Ahay,Accueil > Luminaires > HAY > Lampadaire Apex,https://www.mikadodeco.be/collections/luminaires?brand=hay,Famille et marque conservées ; niveau Mobilier disparu
Sous-catégorie,https://www.mikadodeco.be/collections/lampes-de-table,https://www.mikadodeco.be/produit.html?handle=lampe-pret-a-racket&from=coll%3Alampes-de-table,Accueil > Lampes de table > Lampe Prêt à Racket (Lot de 3),Non cliqué : observation du lien / de la fiche,Luminaires absent
Marque Ichendorf,https://www.mikadodeco.be/collections/ichendorf-milano,https://www.mikadodeco.be/produit.html?handle=verre-a-eau-animal-farm&from=coll%3Aichendorf-milano,Accueil > Ichendorf Milano > Verre à eau Animal Farm,Non cliqué : observation du lien / de la fiche,Liste sous Mobilier ; Marques absent de la fiche
Matière verrerie,https://www.mikadodeco.be/collections/verres-carafes?tag=verrerie,https://www.mikadodeco.be/produit.html?handle=bouteille-animal-farm&from=coll%3Averres-carafes,Accueil > Verres & carafes > Bouteille Animal Farm,https://www.mikadodeco.be/collections/verres-carafes,Tag verrerie perdu au retour
Recherche + marque,https://www.mikadodeco.be/produits.html?q=Bistro&brand=fermob,https://www.mikadodeco.be/produit.html?handle=table-metal-bistro-o-96-cm&from=brand%3Afermob,Accueil > Marques > Fermob > Table Bistro Ø 96 cm,https://www.mikadodeco.be/collections/fermob,Recherche Bistro perdue au retour
Catégorie filtrée,https://www.mikadodeco.be/produits.html?cats=chaises,https://www.mikadodeco.be/produit.html?handle=chaise-bistro-metal,Accueil > Le catalogue > Chaise Bistro Métal,Non cliqué : observation du lien / de la fiche,Catégorie perdue dans la fiche
Pagination,https://www.mikadodeco.be/collections/chaises?page=2,https://www.mikadodeco.be/produit.html?handle=chaise-vla61-monarch&from=coll%3Achaises,Accueil > Chaises > Chaise VLA61 Monarch,https://www.mikadodeco.be/collections/chaises,"Retour page 1, famille Assises absente"
Famille Assises,https://www.mikadodeco.be/collections/sieges,https://www.mikadodeco.be/produit.html?handle=chaise-panton&from=coll%3Asieges,Accueil > Sièges > Chaise Panton,Non cliqué : observation du lien / de la fiche,Famille sans fil ; libellé Sièges sur fiche
Famille Jardin,https://www.mikadodeco.be/collections/outdoor,https://www.mikadodeco.be/produit.html?handle=lampe-balad-h-25-cm&from=coll%3Aoutdoor,Accueil > Mobilier outdoor > Lampe Balad² H.25 cm,Non cliqué : observation du lien / de la fiche,Famille sans fil ; libellé Mobilier outdoor sur fiche
Designer,https://www.mikadodeco.be/produits.html?designer=alvar-aalto,https://www.mikadodeco.be/produit.html?handle=artek-stool-60&from=designer%3Aalvar-aalto,Accueil > Designers > Alvar Aalto > Tabouret 60,https://www.mikadodeco.be/produits.html?designer=alvar-aalto,Designer conservé
Marque Artek,https://www.mikadodeco.be/collections/artek,https://www.mikadodeco.be/produit.html?handle=artek-kori-table-light-eu&from=coll%3Aartek,Accueil > Artek > Lampe de table Kori,Non cliqué : observation du lien / de la fiche,Marques disparaît ; focus clavier bleu 2 px vérifié
Marque Avolt,https://www.mikadodeco.be/produits.html?brand=avolt,https://www.mikadodeco.be/produit.html?handle=multiprise-square-2&from=brand%3Aavolt,Accueil > Marques > Avolt > Multiprise Square 2,Non cliqué : observation du lien / de la fiche,Marques conservé
Recherche rapide,En-tête : recherche Bistro,https://www.mikadodeco.be/produit.html?handle=table-metal-bistro-o-96-cm,Accueil > Le catalogue > Table Bistro Ø 96 cm,Non cliqué : observation du lien / de la fiche,Aucun contexte de recherche sur le lien produit
