type,url,statut_final,url_finale,titre,canonique,fil_serveur,fil_visible_dans_html,liens_produit_html,liens_avec_contexte
family,https://www.mikadodeco.be/collections/sieges,200,https://www.mikadodeco.be/collections/sieges,"Assises — chaises, fauteuils, canapés · Mikado Deco",https://www.mikadodeco.be/collections/sieges,,False,4,0
subcategory,https://www.mikadodeco.be/collections/chaises,200,https://www.mikadodeco.be/collections/chaises,Chaises · Mikado Deco,https://www.mikadodeco.be/collections/chaises,Accueil > Le catalogue > Chaises,False,24,0
subcategory,https://www.mikadodeco.be/collections/fauteuils,200,https://www.mikadodeco.be/collections/fauteuils,Fauteuils · Mikado Deco,https://www.mikadodeco.be/collections/fauteuils,Accueil > Le catalogue > Fauteuils,False,24,0
subcategory,https://www.mikadodeco.be/collections/canapes,200,https://www.mikadodeco.be/collections/canapes,Canapés · Mikado Deco,https://www.mikadodeco.be/collections/canapes,Accueil > Le catalogue > Canapés,False,24,0
subcategory,https://www.mikadodeco.be/collections/sieges-de-bureau,200,https://www.mikadodeco.be/collections/sieges-de-bureau,Sièges de bureau · Mikado Deco,https://www.mikadodeco.be/collections/sieges-de-bureau,Accueil > Le catalogue > Sièges de bureau,False,2,0
subcategory,https://www.mikadodeco.be/collections/chaises-longues,200,https://www.mikadodeco.be/collections/chaises-longues,Chaises longues · Mikado Deco,https://www.mikadodeco.be/collections/chaises-longues,Accueil > Le catalogue > Chaises longues,False,11,0
subcategory,https://www.mikadodeco.be/collections/tabourets-et-bancs,200,https://www.mikadodeco.be/collections/tabourets-et-bancs,Tabourets et bancs · Mikado Deco,https://www.mikadodeco.be/collections/tabourets-et-bancs,Accueil > Le catalogue > Tabourets et bancs,False,24,0
family,https://www.mikadodeco.be/collections/tables,200,https://www.mikadodeco.be/collections/tables,Tables · Mikado Deco,https://www.mikadodeco.be/collections/tables,Accueil > Le catalogue > Tables,False,26,0
subcategory,https://www.mikadodeco.be/collections/tables-de-salle-a-manger,200,https://www.mikadodeco.be/collections/tables-de-salle-a-manger,Tables de salle à manger · Mikado Deco,https://www.mikadodeco.be/collections/tables-de-salle-a-manger,Accueil > Le catalogue > Tables de salle à manger,False,24,0
subcategory,https://www.mikadodeco.be/collections/tables-de-cafe,200,https://www.mikadodeco.be/collections/tables-de-cafe,Tables de café · Mikado Deco,https://www.mikadodeco.be/collections/tables-de-cafe,Accueil > Le catalogue > Tables de café,False,0,0
subcategory,https://www.mikadodeco.be/collections/tables-basses-et-tables-dappoint,200,https://www.mikadodeco.be/collections/tables-basses-et-tables-dappoint,Tables basses et tables d'appoint · Mikado Deco,https://www.mikadodeco.be/collections/tables-basses-et-tables-dappoint,Accueil > Le catalogue > Tables basses et tables d'appoint,False,24,0
subcategory,https://www.mikadodeco.be/collections/bureaux,200,https://www.mikadodeco.be/collections/bureaux,Bureaux · Mikado Deco,https://www.mikadodeco.be/collections/bureaux,Accueil > Le catalogue > Bureaux,False,9,0
family,https://www.mikadodeco.be/collections/luminaires,200,https://www.mikadodeco.be/collections/luminaires,Luminaires · Mikado Deco,https://www.mikadodeco.be/collections/luminaires,Accueil > Le catalogue > Luminaires,False,24,0
subcategory,https://www.mikadodeco.be/collections/suspensions,200,https://www.mikadodeco.be/collections/suspensions,Suspensions · Mikado Deco,https://www.mikadodeco.be/collections/suspensions,Accueil > Le catalogue > Suspensions,False,24,0
subcategory,https://www.mikadodeco.be/collections/lampes-de-table,200,https://www.mikadodeco.be/collections/lampes-de-table,Lampes de table · Mikado Deco,https://www.mikadodeco.be/collections/lampes-de-table,Accueil > Le catalogue > Lampes de table,False,24,0
subcategory,https://www.mikadodeco.be/collections/lampes-de-bureau,200,https://www.mikadodeco.be/collections/lampes-de-bureau,Lampes de bureau · Mikado Deco,https://www.mikadodeco.be/collections/lampes-de-bureau,Accueil > Le catalogue > Lampes de bureau,False,6,0
subcategory,https://www.mikadodeco.be/collections/lampadaires,200,https://www.mikadodeco.be/collections/lampadaires,Lampadaires · Mikado Deco,https://www.mikadodeco.be/collections/lampadaires,Accueil > Le catalogue > Lampadaires,False,24,0
subcategory,https://www.mikadodeco.be/collections/appliques,200,https://www.mikadodeco.be/collections/appliques,Appliques · Mikado Deco,https://www.mikadodeco.be/collections/appliques,Accueil > Le catalogue > Appliques,False,14,0
subcategory,https://www.mikadodeco.be/collections/lampes-nomades,200,https://www.mikadodeco.be/collections/lampes-nomades,Lampes nomades · Mikado Deco,https://www.mikadodeco.be/collections/lampes-nomades,Accueil > Le catalogue > Lampes nomades,False,8,0
family,https://www.mikadodeco.be/collections/decoration,200,https://www.mikadodeco.be/collections/decoration,Décoration · Mikado Deco,https://www.mikadodeco.be/collections/decoration,Accueil > Le catalogue > Décoration,False,24,0
subcategory,https://www.mikadodeco.be/collections/vases,200,https://www.mikadodeco.be/collections/vases,Vases · Mikado Deco,https://www.mikadodeco.be/collections/vases,Accueil > Le catalogue > Vases,False,24,0
subcategory,https://www.mikadodeco.be/collections/bougeoirs-bougies-photophores,200,https://www.mikadodeco.be/collections/bougeoirs-bougies-photophores,"Bougeoirs, bougies & photophores · Mikado Deco",https://www.mikadodeco.be/collections/bougeoirs-bougies-photophores,"Accueil > Le catalogue > Bougeoirs, bougies & photophores",False,24,0
subcategory,https://www.mikadodeco.be/collections/miroirs,200,https://www.mikadodeco.be/collections/miroirs,Miroirs · Mikado Deco,https://www.mikadodeco.be/collections/miroirs,Accueil > Le catalogue > Miroirs,False,23,0
subcategory,https://www.mikadodeco.be/collections/coussins-plaids-tapis,200,https://www.mikadodeco.be/collections/coussins-plaids-tapis,"Coussins, plaids & tapis · Mikado Deco",https://www.mikadodeco.be/collections/coussins-plaids-tapis,"Accueil > Le catalogue > Coussins, plaids & tapis",False,24,0
subcategory,https://www.mikadodeco.be/collections/cache-pots-jardinieres,200,https://www.mikadodeco.be/collections/cache-pots-jardinieres,Cache-pots & jardinières · Mikado Deco,https://www.mikadodeco.be/collections/cache-pots-jardinieres,Accueil > Le catalogue > Cache-pots & jardinières,False,15,0
subcategory,https://www.mikadodeco.be/collections/objets-decoratifs-cadres,200,https://www.mikadodeco.be/collections/objets-decoratifs-cadres,Objets décoratifs & cadres · Mikado Deco,https://www.mikadodeco.be/collections/objets-decoratifs-cadres,Accueil > Le catalogue > Objets décoratifs & cadres,False,24,0
family,https://www.mikadodeco.be/collections/outdoor,200,https://www.mikadodeco.be/collections/outdoor,Jardin — mobilier d'extérieur · Mikado Deco,https://www.mikadodeco.be/collections/outdoor,,False,0,0
subcategory,https://www.mikadodeco.be/collections/chaises-outdoor,200,https://www.mikadodeco.be/collections/chaises-outdoor,Chaises outdoor · Mikado Deco,https://www.mikadodeco.be/collections/chaises-outdoor,Accueil > Le catalogue > Chaises outdoor,False,24,0
subcategory,https://www.mikadodeco.be/collections/bancs-outdoor,200,https://www.mikadodeco.be/collections/bancs-outdoor,Bancs outdoor · Mikado Deco,https://www.mikadodeco.be/collections/bancs-outdoor,Accueil > Le catalogue > Bancs outdoor,False,24,0
subcategory,https://www.mikadodeco.be/collections/bains-de-soleil-transats,200,https://www.mikadodeco.be/collections/bains-de-soleil-transats,Bains de soleil & transats · Mikado Deco,https://www.mikadodeco.be/collections/bains-de-soleil-transats,Accueil > Le catalogue > Bains de soleil & transats,False,6,0
